,city,country,lat,lon
0,Nanterre,France,48.896167028910696,2.207056349221208
1,Stockholm,Sweden,59.32203300892007,17.996894152509256
2,Lisbon,Portugal,38.74267429397232,-9.156114686831788
3,Madrid,Spain,40.46545569018456,-3.696427623290258
4,Décines-Charpieu,France,45.77197846885344,4.961709611546908
5,Edinburgh,UK,55.92651992811121,-3.2883442915115015
6,Liverpool,UK,53.39548246139087,-2.9170504432140922
7,Cardiff,UK,51.50840904440729,-3.1995423781469863
8,London,UK,51.500497185497736,-0.10941571778097123
9,Dublin,Ireland,53.35900239161803,-6.2579824651446305
10,Amsterdam,Netherlands,52.373432817290556,4.904530985309441
11,Zürich,Switzerland,47.38141768914041,8.531370114731079
12,Milan,Italy,45.468394165561286,9.173018654495348
13,Gelsenkirchen,Germany,51.55403000434088,7.070923938353713
14,Hamburg,Germany,53.64513249766132,9.62816648650933
15,Munich,Germany,48.15316497150969,11.547373079454998
16,Warsaw,Poland,52.22933483435358,21.04772886222034
17,Vienna,Austria,48.20844343027355,16.37784149115177
